timestamp,session_id,event,user,ip,port
2021-02-13 22:58:40,24681,Invalid user,ubuntu,150.136.160.141,36880
2021-02-13 22:58:40,24681,Invalid user,ubuntu,150.136.160.141,36880
2021-02-13 22:58:40,24681,Invalid user,ubuntu,150.136.160.141,36880
2021-02-13 23:14:57,25691,Invalid user,alpha,51.104.242.17,57946
2021-02-13 23:24:05,26380,Invalid user,user,206.189.111.9,50974
2021-02-13 23:30:58,26808,Invalid user,hpr,106.53.92.85,33498
2021-02-13 23:33:40,26978,Invalid user,admin1,168.194.207.58,50471
2021-02-13 23:36:33,27152,Invalid user,tomcat7,122.51.149.86,53598
2021-02-13 22:58:40,24681,Invalid user,ubuntu,150.136.160.141,36880
2021-02-13 23:14:57,25691,Invalid user,alpha,51.104.242.17,57946
2021-02-13 23:24:05,26380,Invalid user,user,206.189.111.9,50974
2021-02-13 23:30:58,26808,Invalid user,hpr,106.53.92.85,33498
2021-02-13 23:33:40,26978,Invalid user,admin1,168.194.207.58,50471
2021-02-13 23:36:33,27152,Invalid user,tomcat7,122.51.149.86,53598
2021-02-13 23:37:36,27256,Invalid user,template,156.208.91.55,51700
2021-02-13 23:40:10,27273,Invalid user,user,68.183.4.205,37006
2021-02-13 23:43:27,27277,Invalid user,dawn,213.32.78.219,56970
2021-02-13 23:44:18,27279,Invalid user,sajan,104.248.61.192,44752
2021-02-13 23:47:42,27285,Invalid user,hpf,211.50.170.252,48790
2021-02-13 23:49:07,27287,Invalid user,obes,108.28.99.79,40186
2021-02-13 23:53:59,27309,Invalid user,obes,108.28.99.79,40188
2021-02-13 23:55:31,27316,Invalid user,obes,108.28.99.79,40190
2021-02-14 00:17:13,27492,Invalid user,obes,108.28.99.79,40192
2021-02-14 00:18:22,27504,Invalid user,tomcat,130.61.106.221,59844
2021-02-14 00:18:31,27510,Invalid user,postfix,130.61.106.221,59836
2021-02-14 00:21:59,27566,Invalid user,admin,167.71.229.184,56060
2021-02-14 00:22:01,27568,Invalid user,admin,167.71.229.184,35562
2021-02-14 00:22:03,27570,Invalid user,user,167.71.229.184,43706
2021-02-14 00:22:05,27572,Invalid user,ubnt,167.71.229.184,51180
2021-02-14 00:22:09,27576,Invalid user,admin,167.71.229.184,59090
